"","Method","nFeature","Accuracy"
"1","lda",52,0.701967553065587
"2","qda",52,0.893486423912499
"3","rpart",52,0.510546953010821
"4","rpart",52,0.454492357679622
"5","rpart",52,0.33070548943369
"6","rpart",16,0.520390204393483
"7","rpart",16,0.442710998322644
"8","rpart",16,0.33070548943369
"9","lda",16,0.463666713357522
"10","qda",16,0.655134121789518
"11","QdaCov",52,0.592295334660844
